"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Gloucester Street Prospect SA 5082",280000,2003-03-14,946,140," 4 Beds, 2 Baths, 3 Car Spaces, 2 Lock Up Garages",4,2,3,2,0
"Gloucester Street Prospect SA 5082",521210,2003-09-15,1103,192," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Gloucester Street Prospect SA 5082",280000,2001-07-12,535,240," 5 Beds, 3 Baths",5,3,0,0,0
"Gloucester Street Prospect SA 5082",334000,2000-07-07,1607,202," 4 Beds, 2 Baths",4,2,0,0,0
"Gloucester Street Prospect SA 5082",254000,2000-08-03,803,132," 4 Beds, 2 Baths, 4 Car Spaces",4,2,4,0,0
"Gloucester Street Prospect SA 5082",420000,2003-07-10,803,149," 3 Beds, 1 Baths",3,1,0,0,0
"Gordon Road Prospect SA 5082",220000,2002-07-04,624,138," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Gordon Road Prospect SA 5082",210388,2001-07-27,466,106," 3 Beds, 1 Baths",3,1,0,0,0
"Gordon Road Prospect SA 5082",313000,2002-09-26,624,141," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Gordon Road Prospect SA 5082",160000,2000-06-23,624,112," 3 Beds, 1 Baths",3,1,0,0,0
"Gordon Road Prospect SA 5082",272500,2001-05-23,662,150," 3 Beds, 1 Baths, 4 Car Spaces, 1 Lock Up Garages",3,1,4,1,0
"Gordon Road Prospect SA 5082",285000,2000-06-01,624,181,"",0,0,0,0,0
"Gordon Road Prospect SA 5082",73000,2003-07-11,313,99," 2 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",2,1,1,2,0
"Guilford Avenue Prospect SA 5082",197000,2001-06-08,817,112," 2 Beds, 1 Baths",2,1,0,0,0
"Guilford Avenue Prospect SA 5082",239500,2003-05-14,838,97," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Guilford Avenue Prospect SA 5082",184000,2002-06-21,836,105," 3 Beds, 1 Baths",3,1,0,0,0
"Guilford Avenue Prospect SA 5082",122200,2001-12-04,836,100," 3 Beds, 1 Baths",3,1,0,0,0
"Guilford Avenue Prospect SA 5082",110000,2000-09-25,472,102,"",0,0,0,0,0
"Guilford Avenue Prospect SA 5082",285000,2003-10-29,499,142," 4 Beds, 1 Baths, 2 Car Spaces",4,1,2,0,0
"Guilford Avenue Prospect SA 5082",150000,2001-06-19,834,148," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Guilford Avenue Prospect SA 5082",137750,2001-07-23,817,100," 3 Beds, 1 Baths",3,1,0,0,0
"Guilford Avenue Prospect SA 5082",305000,2003-12-12,966,129," 3 Beds",3,0,0,0,0
"Harrington Street Prospect SA 5082",350000,2002-10-25,571,150," 3 Beds, 1 Baths",3,1,0,0,0
"Harrington Street Prospect SA 5082",260000,2000-04-13,501,122,"",0,0,0,0,0
"Harrington Street Prospect SA 5082",240188,2001-07-13,571,120," 3 Beds, 2 Baths",3,2,0,0,0
"Henrietta Street Prospect SA 5082",196500,2003-07-25,469,101," 3 Beds, 1 Baths, 2 Car Spaces, 3 Lock Up Garages",3,1,2,3,0
"Henrietta Street Prospect SA 5082",228000,2003-03-25,581,112," 3 Beds, 2 Baths",3,2,0,0,0
"Henrietta Street Prospect SA 5082",151000,2001-12-13,581,94," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Henrietta Street Prospect SA 5082",203500,2003-04-22,557,100," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Highbury Street Prospect SA 5082",220000,2001-05-29,557,160," 7 Beds",7,0,0,0,0
"Highbury Street Prospect SA 5082",340000,2002-07-18,418,140," 3 Beds",3,0,0,0,0
"Highbury Street Prospect SA 5082",205000,2001-05-25,418,120," 3 Beds",3,0,0,0,0
"Highbury Street Prospect SA 5082",4e+05,2002-05-10,418,150,"",0,0,0,0,0
"Highbury Street Prospect SA 5082",930,2001-02-28,252,70," 3 Beds, 1 Baths",3,1,0,0,0
