"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Bradbrook Road Athelstone SA 5076",414000,2009-06-26,924,138," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Bridget Street Athelstone SA 5076",4e+05,2008-08-05,905,190," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
"Bridget Street Athelstone SA 5076",430000,2009-04-14,975,164," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Bridget Street Athelstone SA 5076",380000,2008-05-01,596,146," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Bridget Street Athelstone SA 5076",318000,2007-03-26,589,151," 4 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,3,2,2,1
"Bridget Street Athelstone SA 5076",260000,2006-07-04,528,161,"",0,0,0,0,0
"Bridget Street Athelstone SA 5076",357500,2009-06-24,596,154," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Brookside Road Athelstone SA 5076",355000,2009-05-15,787,139," 3 Beds, 2 Lock Up Garages, 1 Ensuites",3,0,0,2,1
"Brookside Road Athelstone SA 5076",103500,2006-10-26,927,111," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Brookside Road Athelstone SA 5076",330500,2007-10-11,493,111," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Brookside Road Athelstone SA 5076",355000,2007-12-19,755,125," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Burnbank Grove Athelstone SA 5076",175000,2006-03-22,788,188,"",0,0,0,0,0
"Burnbank Grove Athelstone SA 5076",375000,2008-12-10,735,111," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Burnbank Grove Athelstone SA 5076",310000,2006-07-07,912,110," 3 Beds, 1 Baths",3,1,0,0,0
"Burnbank Grove Athelstone SA 5076",402000,2009-07-02,657,213," 3 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",3,2,0,2,1
"Burnbank Grove Athelstone SA 5076",370000,2007-02-14,646,210," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Burnbank Grove Athelstone SA 5076",570000,2009-10-22,390,228," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Burnbank Grove Athelstone SA 5076",444500,2008-03-31,603,202," 4 Beds, 2 Baths, 4 Car Spaces, 4 Lock Up Garages, 1 Ensuites",4,2,4,4,1
"Burnbank Grove Athelstone SA 5076",510000,2006-01-24,979,284," 5 Beds, 1 Baths, 1 Lock Up Garages, 1 Ensuites",5,1,0,1,1
"Burton Road Athelstone SA 5076",612000,2007-02-12,1568,233," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Burton Road Athelstone SA 5076",287150,2007-05-10,706,96," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Burton Road Athelstone SA 5076",460000,2007-06-01,981,344," 5 Beds, 3 Baths, 4 Car Spaces, 1 Ensuites",5,3,4,0,1
"Burton Road Athelstone SA 5076",150000,2009-11-12,352,105,"",0,0,0,0,0
"Burton Road Athelstone SA 5076",350000,2007-12-21,780,193," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Carolyn Grove Athelstone SA 5076",445000,2007-03-07,662,230," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"Carolyn Grove Athelstone SA 5076",345000,2009-11-11,647,207," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Castle Street Athelstone SA 5076",327500,2007-05-29,654,160," 4 Beds, 2 Baths, 1 Ensuites",4,2,0,0,1
"Christie Court Athelstone SA 5076",345000,2008-01-25,707,175," 4 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",4,1,1,1,0
"Clare Avenue Athelstone SA 5076",310000,2007-06-28,707,145," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Clare Avenue Athelstone SA 5076",342500,2009-04-08,725,105," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Clare Avenue Athelstone SA 5076",330000,2008-11-14,708,111," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Clare Avenue Athelstone SA 5076",295000,2006-07-14,710,178," 3 Beds, 2 Baths",3,2,0,0,0
"Clare Avenue Athelstone SA 5076",380000,2009-04-24,353,148," 3 Beds, 1 Lock Up Garages, 2 Ensuites",3,0,0,1,2
"Clare Avenue Athelstone SA 5076",432000,2009-07-23,702,170," 3 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",3,2,0,2,1
"Clare Avenue Athelstone SA 5076",367500,2007-06-01,794,140," 4 Beds, 1 Baths, 2 Car Spaces",4,1,2,0,0
"Clarence Drive Athelstone SA 5076",284000,2006-06-15,706,123," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Clarence Drive Athelstone SA 5076",342257,2006-03-01,702,163," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Clement Road Athelstone SA 5076",3e+05,2007-10-20,891,159," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Clement Road Athelstone SA 5076",1407800,2007-11-12,6391,202," 4 Beds, 2 Baths, 4 Car Spaces, 4 Lock Up Garages, 1 Ensuites",4,2,4,4,1
"Cooinda Crescent Athelstone SA 5076",323000,2006-11-02,720,114," 3 Beds, 1 Baths",3,1,0,0,0
"Cooinda Crescent Athelstone SA 5076",338000,2006-03-29,631,154," 4 Beds, 2 Baths, 3 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,3,1,1
"Cooinda Crescent Athelstone SA 5076",320000,2008-08-14,565,99," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Cooinda Crescent Athelstone SA 5076",320000,2006-04-07,514,138," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Cooinda Crescent Athelstone SA 5076",510000,2007-11-22,823,188," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Cooke Terrace Athelstone SA 5076",290000,2007-05-17,809,156,"",0,0,0,0,0
"Cork Street Athelstone SA 5076",371000,2008-02-13,676,157," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Coulls Road Athelstone SA 5076",386000,2009-09-28,662,92," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Coulls Road Athelstone SA 5076",468000,2006-07-18,921,198," 4 Beds, 1 Baths, 1 Ensuites",4,1,0,0,1
"Coulls Road Athelstone SA 5076",635000,2009-12-15,723,315," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Coulls Road Athelstone SA 5076",560000,2006-11-20,1183,267,"",0,0,0,0,0
"Coulls Road Athelstone SA 5076",325000,2008-07-18,712,87," 3 Beds",3,0,0,0,0
