"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Fourth Street Magill SA 5072",435000,2003-11-13,359,213," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Fowler Street Magill SA 5072",140000,2000-06-26,761,102,"",0,0,0,0,0
"Frederick Street Magill SA 5072",145000,2000-08-10,720,118,"",0,0,0,0,0
"Frederick Street Magill SA 5072",367000,2006-04-26,720,140," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Frederick Street Magill SA 5072",160000,2006-03-21,730,110," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Frederick Street Magill SA 5072",178000,2001-09-27,434,114," 3 Beds, 1 Baths",3,1,0,0,0
"Geoffrey Street Magill SA 5072",227000,2002-10-02,678,102," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Gertrude Street Magill SA 5072",278000,2005-09-08,425,90," 3 Beds, 1 Baths",3,1,0,0,0
"Gertrude Street Magill SA 5072",165000,2000-03-22,606,132,"",0,0,0,0,0
"Gertrude Street Magill SA 5072",245000,2003-06-06,893,86,"",0,0,0,0,0
"Gertrude Street Magill SA 5072",278500,2005-08-05,448,104," 3 Beds, 1 Baths",3,1,0,0,0
"Giles Street Magill SA 5072",173000,2001-06-28,569,108," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Giles Street Magill SA 5072",264500,2001-08-17,835,202," 4 Beds, 2 Baths, 3 Car Spaces, 2 Lock Up Garages",4,2,3,2,0
"Giles Street Magill SA 5072",495000,2006-04-19,419,195," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Giles Street Magill SA 5072",340000,2003-05-28,799,120,"",0,0,0,0,0
"Giles Street Magill SA 5072",238000,2004-01-30,445,98," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Giles Street Magill SA 5072",382500,2006-09-14,748,125," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Giles Street Magill SA 5072",360000,2004-11-17,813,125," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Giles Street Magill SA 5072",520000,2006-04-28,595,226," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Giles Street Magill SA 5072",268000,2000-05-24,1186,154,"",0,0,0,0,0
"Giles Street Magill SA 5072",427500,2006-06-19,724,150," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Gladstone Avenue Magill SA 5072",242000,2002-10-21,335,103," 3 Beds, 1 Ensuites",3,0,0,0,1
"Gladstone Avenue Magill SA 5072",130000,2000-01-10,697,90,"",0,0,0,0,0
"Gladstone Avenue Magill SA 5072",125000,2000-08-30,737,94," 3 Beds, 1 Car Spaces",3,0,1,0,0
"Gladstone Avenue Magill SA 5072",173333,2006-12-07,711,100,"",0,0,0,0,0
"Glen Stuart Road Magill SA 5072",240000,2004-07-29,366,148," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Glen Stuart Road Magill SA 5072",250000,2004-07-29,366,148," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Glen Stuart Road Magill SA 5072",262000,2003-06-10,354,133," 3 Beds",3,0,0,0,0
"Glen Stuart Road Magill SA 5072",215000,2003-06-17,252,103," 2 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",2,1,1,1,0
"Glen Stuart Road Magill SA 5072",370000,2004-04-22,1160,115," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Greenham Avenue Magill SA 5072",140000,2000-12-19,792,138,"",0,0,0,0,0
